 cattivin ( VERB ) 
 ciampicato ( VERB_PAST_PARTICIPLE VERB ) 
 ciampicava ( VERB ) 
 ciampicavamo ( VERB ) 
 ciampicavan ( VERB ) 
 ciampicavano ( VERB ) 
 ciampicavate ( VERB ) 
 ciampicavi ( VERB ) 
 ciampicavo ( VERB ) 
 ciampichera' ( VERB ) 
 ciampicherai ( VERB ) 
 ciampicheran ( VERB ) 
 ciampicheranno ( VERB ) 
 ciampicherebbe ( VERB ) 
 ciampicherebber ( VERB ) 
 ciampicherebbero ( VERB ) 
 ciampicherei ( VERB ) 
 ciampicheremmo ( VERB ) 
 ciampicheremo ( VERB ) 
 ciampichereste ( VERB ) 
 ciampicheresti ( VERB ) 
 ciampicherete ( VERB ) 
 ciampichero' ( VERB ) 
 ciampicherà ( VERB ) 
 ciampicherò ( VERB ) 
 ciampichi ( VERB ) 
 ciampichiamo ( VERB ) 
 ciampichiate ( VERB ) 
 ciampichin ( VERB ) 
 ciampichino ( VERB ) 
 ciampico ( VERB ) 
 ciampico' ( VERB ) 
 ciampicò ( VERB ) 
 ciancera' ( VERB ) 
 ciancerai ( VERB ) 
 cianceran ( VERB ) 
 cianceranno ( VERB ) 
 ciancerebbe ( VERB ) 
 ciancerebber ( VERB ) 
 ciancerebbero ( VERB ) 
 ciancerei ( VERB ) 
 cianceremmo ( VERB ) 
 cianceremo ( VERB ) 
 ciancereste ( VERB ) 
 cianceresti ( VERB ) 
 ciancerete ( VERB ) 
 ciancero' ( VERB ) 
 ciancerà ( VERB ) 
 ciancerò ( VERB ) 
 cianci ( VERB ) 
 ciancia ( VERB ) 
 cianciai ( VERB ) 
 cianciammo ( VERB ) 
 cianciamo ( VERB ) 
 ciancian ( VERB ) 
 cianciando ( NOUN NOUN_GERUND ) 
 cianciano ( VERB ) 
 cianciante ( VERB_PRESENT_PARTICIPLE VERB ) 
 ciancianti ( VERB_PRESENT_PARTICIPLE VERB ) 
 cianciar ( VERB_INFINITIVE VERB ) 
 cianciare ( VERB_INFINITIVE VERB ) 
 cianciaron ( VERB ) 
 cianciarono ( VERB ) 
 cianciasse ( VERB ) 
 cianciasser ( VERB ) 
 cianciassero ( VERB ) 
 cianciassi ( VERB ) 
 cianciassimo ( VERB ) 
 cianciaste ( VERB ) 
 cianciasti ( VERB ) 
 cianciata ( VERB_PAST_PARTICIPLE VERB ) 
 cianciate ( VERB_PAST_PARTICIPLE VERB ) 
 cianciati ( VERB_PAST_PARTICIPLE VERB ) 
 cianciato ( VERB_PAST_PARTICIPLE VERB ) 
 cianciava ( VERB ) 
 cianciavamo ( VERB ) 
 cianciavan ( VERB ) 
 cianciavano ( VERB ) 
 cianciavate ( VERB ) 
 cianciavi ( VERB ) 
 cianciavo ( VERB ) 
 ciancica ( VERB ) 
 ciancicai ( VERB ) 
 ciancicammo ( VERB ) 
 ciancican ( VERB ) 
 ciancicando ( NOUN NOUN_GERUND ) 
 ciancicano ( VERB ) 
 ciancicante ( VERB_PRESENT_PARTICIPLE VERB ) 
 ciancicanti ( VERB_PRESENT_PARTICIPLE VERB ) 
 ciancicar ( VERB_INFINITIVE VERB ) 
 ciancicare ( VERB_INFINITIVE VERB ) 
 ciancicaron ( VERB ) 
 ciancicarono ( VERB ) 
 ciancicasse ( VERB ) 
 ciancicasser ( VERB ) 
 ciancicassero ( VERB ) 
 ciancicassi ( VERB ) 
 ciancicassimo ( VERB ) 
 ciancicaste ( VERB ) 
 ciancicasti ( VERB ) 
 ciancicata ( VERB_PAST_PARTICIPLE VERB ) 
 ciancicate ( VERB_PAST_PARTICIPLE VERB ) 
 ciancicati ( VERB_PAST_PARTICIPLE VERB ) 
 ciancicato ( VERB_PAST_PARTICIPLE VERB ) 
 ciancicava ( VERB ) 
 ciancicavamo ( VERB ) 
 ciancicavan ( VERB ) 
 ciancicavano ( VERB ) 
 ciancicavate ( VERB ) 
 ciancicavi ( VERB ) 
 ciancicavo ( VERB ) 
 ciancichera' ( VERB ) 
 ciancicherai ( VERB ) 
 ciancicheran ( VERB ) 
 ciancicheranno ( VERB ) 
 ciancicherebbe ( VERB ) 
 ciancicherebber ( VERB ) 
 ciancicherebbero ( VERB ) 
 ciancicherei ( VERB ) 
 ciancicheremmo ( VERB ) 
 ciancicheremo ( VERB ) 
 ciancichereste ( VERB ) 
 ciancicheresti ( VERB ) 
 ciancicherete ( VERB ) 
 ciancichero' ( VERB ) 
 ciancicherà ( VERB ) 
 ciancicherò ( VERB ) 
 ciancichi ( VERB ) 
 ciancichiamo ( VERB ) 
 ciancichiate ( VERB ) 
 ciancichin ( VERB ) 
 ciancichino ( VERB ) 
 ciancico ( VERB ) 
 ciancico' ( VERB ) 
 ciancicò ( VERB ) 
 ciancin ( VERB ) 
 ciancino ( VERB ) 
 ciancio ( VERB ) 
 ciancio' ( VERB ) 
 cianciò ( VERB ) 
 cianfrugli ( VERB ) 
 cianfruglia ( VERB ) 
 cianfrugliai ( VERB ) 
 cianfrugliammo ( VERB ) 
 cianfrugliamo ( VERB ) 
 cianfruglian ( VERB ) 
 cianfrugliando ( NOUN NOUN_GERUND ) 
 cianfrugliano ( VERB ) 
 cianfrugliante ( VERB_PRESENT_PARTICIPLE VERB ) 
 cianfruglianti ( VERB_PRESENT_PARTICIPLE VERB ) 
 cianfrugliar ( VERB_INFINITIVE VERB ) 
 cianfrugliare ( VERB_INFINITIVE VERB ) 
 cianfrugliaron ( VERB ) 
 cianfrugliarono ( VERB ) 
 cianfrugliasse ( VERB ) 
 cianfrugliasser ( VERB ) 
 cianfrugliassero ( VERB ) 
 cianfrugliassi ( VERB ) 
 cianfrugliassimo ( VERB ) 
 cianfrugliaste ( VERB ) 
 cianfrugliasti ( VERB ) 
 cianfrugliata ( VERB_PAST_PARTICIPLE VERB ) 
 cianfrugliate ( VERB_PAST_PARTICIPLE VERB ) 
 cianfrugliati ( VERB_PAST_PARTICIPLE VERB ) 
 cianfrugliato ( VERB_PAST_PARTICIPLE VERB ) 
 cianfrugliava ( VERB ) 
 cianfrugliavamo ( VERB ) 
 cianfrugliavan ( VERB ) 
 cianfrugliavano ( VERB ) 
 cianfrugliavate ( VERB ) 
 cianfrugliavi ( VERB ) 
 cianfrugliavo ( VERB ) 
 cianfrugliera' ( VERB ) 
 cianfruglierai ( VERB ) 
 cianfruglieran ( VERB ) 
 cianfruglieranno ( VERB ) 
 cianfruglierebbe ( VERB ) 
 cianfruglierebber ( VERB ) 
 cianfruglierebbero ( VERB ) 
 cianfruglierei ( VERB ) 
 cianfruglieremmo ( VERB ) 
 cianfruglieremo ( VERB ) 
 cianfrugliereste ( VERB ) 
 cianfruglieresti ( VERB ) 
 cianfruglierete ( VERB ) 
 cianfrugliero' ( VERB ) 
 cianfruglierà ( VERB ) 
 cianfruglierò ( VERB ) 
 cianfruglin ( VERB ) 
 cianfruglino ( VERB ) 
 cianfruglio ( VERB ) 
 cianfruglio' ( VERB ) 
 cianfrugliò ( VERB ) 
 cianfrusaglia ( NOUN NOUN_SINGULAR ) 
 cianfrusaglie ( NOUN NOUN_SINGULAR ) 
 ciangotta ( VERB ) 
 ciangottai ( VERB ) 
 ciangottammo ( VERB ) 
 ciangottan ( VERB ) 
 ciangottando ( NOUN NOUN_GERUND ) 
 ciangottano ( VERB ) 
 ciangottante ( VERB_PRESENT_PARTICIPLE VERB ) 
 ciangottanti ( VERB_PRESENT_PARTICIPLE VERB ) 
 ciangottar ( VERB_INFINITIVE VERB ) 
 ciangottare ( VERB_INFINITIVE VERB ) 
 ciangottaron ( VERB ) 
 ciangottarono ( VERB ) 
 ciangottasse ( VERB ) 
 ciangottasser ( VERB ) 
 ciangottassero ( VERB ) 
 ciangottassi ( VERB ) 
 ciangottassimo ( VERB ) 
 ciangottaste ( VERB ) 
 ciangottasti ( VERB ) 
 ciangottata ( VERB_PAST_PARTICIPLE VERB ) 
 ciangottate ( VERB_PAST_PARTICIPLE VERB ) 
 ciangottati ( VERB_PAST_PARTICIPLE VERB ) 
 ciangottato ( VERB_PAST_PARTICIPLE VERB ) 
 ciangottava ( VERB ) 
 ciangottavamo ( VERB ) 
 ciangottavan ( VERB ) 
 ciangottavano ( VERB ) 
 ciangottavate ( VERB ) 
 ciangottavi ( VERB ) 
 ciangottavo ( VERB ) 
 ciangottera' ( VERB ) 
 ciangotterai ( VERB ) 
 ciangotteran ( VERB ) 
 ciangotteranno ( VERB ) 
 ciangotterebbe ( VERB ) 
 ciangotterebber ( VERB ) 
 ciangotterebbero ( VERB ) 
 ciangotterei ( VERB ) 
 ciangotteremmo ( VERB ) 
 ciangotteremo ( VERB ) 
 ciangottereste ( VERB ) 
 ciangotteresti ( VERB ) 
 ciangotterete ( VERB ) 
 ciangottero' ( VERB ) 
 ciangotterà ( VERB ) 
 ciangotterò ( VERB ) 
 ciangotti ( VERB ) 
 ciangottiamo ( VERB ) 
 ciangottiate ( VERB ) 
 ciangottin ( VERB ) 
 ciangottino ( VERB ) 
 ciangotto ( VERB ) 
 ciangotto' ( VERB ) 
 ciangottò ( VERB ) 
 cianotica ( ADJECTIVE ) 
 cianotiche ( ADJECTIVE ) 
 cianotici ( ADJECTIVE ) 
 cianoticissima ( ADJECTIVE ) 
 cianoticissime ( ADJECTIVE ) 
 cianoticissimi ( ADJECTIVE ) 
 cianoticissimo ( ADJECTIVE ) 
 cianotico ( ADJECTIVE ) 
 ciao ( ) 
 ciarla ( VERB ) 
 ciarlai ( VERB ) 
 ciarlammo ( VERB ) 
 ciarlan ( VERB ) 
 ciarlando ( NOUN NOUN_GERUND ) 
 ciarlano ( VERB ) 
 ciarlante ( VERB_PRESENT_PARTICIPLE VERB ) 
 ciarlanti ( VERB_PRESENT_PARTICIPLE VERB ) 
 ciarlar ( VERB_INFINITIVE VERB ) 
 ciarlare ( VERB_INFINITIVE VERB ) 
 ciarlaron ( VERB ) 
 ciarlarono ( VERB ) 
 ciarlasse ( VERB ) 
 ciarlasser ( VERB ) 
 ciarlassero ( VERB ) 
 ciarlassi ( VERB ) 
 ciarlassimo ( VERB ) 
 ciarlaste ( VERB ) 
 ciarlasti ( VERB ) 
 ciarlata ( VERB_PAST_PARTICIPLE VERB ) 
 ciarlatani ( NOUN NOUN_SINGULAR ) 
 ciarlatano ( NOUN NOUN_SINGULAR ) 
 ciarlate ( VERB_PAST_PARTICIPLE VERB ) 
 ciarlati ( VERB_PAST_PARTICIPLE VERB ) 
 ciarlato ( VERB_PAST_PARTICIPLE VERB ) 
 ciarlava ( VERB ) 
 ciarlavamo ( VERB ) 
 ciarlavan ( VERB ) 
 ciarlavano ( VERB ) 
 ciarlavate ( VERB ) 
 ciarlavi ( VERB ) 
 ciarlavo ( VERB ) 
 ciarlera' ( VERB ) 
 ciarlerai ( VERB ) 
 ciarleran ( VERB ) 
 ciarleranno ( VERB ) 
 ciarlerebbe ( VERB ) 
 ciarlerebber ( VERB ) 
 ciarlerebbero ( VERB ) 
 ciarlerei ( VERB ) 
 ciarleremmo ( VERB ) 
 ciarleremo ( VERB ) 
 ciarlereste ( VERB ) 
 ciarleresti ( VERB ) 
 ciarlerete ( VERB ) 
 ciarlero' ( VERB ) 
 ciarlerà ( VERB ) 
 ciarlerò ( VERB ) 
 ciarli ( VERB ) 
 ciarliamo ( VERB ) 
 ciarliate ( VERB ) 
 ciarliera ( ADJECTIVE ) 
 ciarliere ( ADJECTIVE ) 
 ciarlieri ( ADJECTIVE ) 
 ciarlierissima ( ADJECTIVE ) 
 ciarlierissime ( ADJECTIVE ) 
 ciarlierissimi ( ADJECTIVE ) 
 ciarlierissimo ( ADJECTIVE ) 
 ciarliero ( ADJECTIVE ) 
 ciarlin ( VERB ) 
 ciarlino ( VERB ) 
 ciarlo ( VERB ) 
 ciarlo' ( VERB ) 
 ciarlò ( VERB ) 
 ciarpame ( NOUN NOUN_SINGULAR ) 
 ciarpami ( NOUN NOUN_SINGULAR ) 
 ciascun ( DETERMINER ) 
 ciascuna ( PRONOUN_SUBJECT PRONOUN_OBJECT DETERMINER ) 
 ciascuno ( PRONOUN_SUBJECT PRONOUN_OBJECT ) 
 ciba ( VERB ) 
 cibai ( VERB ) 
 cibali ( VERB ) 
 cibammo ( VERB ) 
 ciban ( VERB ) 
 cibando ( NOUN NOUN_GERUND ) 
 cibandoci ( NOUN NOUN_GERUND ) 
 cibandosi ( NOUN NOUN_GERUND ) 
 cibano ( VERB ) 
 cibante ( VERB_PRESENT_PARTICIPLE VERB ) 
 cibanti ( VERB_PRESENT_PARTICIPLE VERB ) 
 cibar ( VERB_INFINITIVE VERB ) 
 cibarcene ( VERB_INFINITIVE VERB ) 
 cibarci ( VERB_INFINITIVE VERB ) 
 cibare ( VERB_INFINITIVE VERB ) 
 cibaron ( VERB ) 
 cibarono ( VERB ) 
 cibarsene ( VERB_INFINITIVE VERB ) 
 cibarsi ( VERB_INFINITIVE VERB ) 
 cibasse ( VERB ) 
 cibasser ( VERB ) 
 cibassero ( VERB ) 
 cibassi ( VERB ) 
 cibassimo ( VERB ) 
 cibaste ( VERB ) 
 cibasti ( VERB ) 
 cibata ( VERB_PAST_PARTICIPLE VERB ) 
 cibate ( VERB_PAST_PARTICIPLE VERB ) 
 cibati ( VERB_PAST_PARTICIPLE VERB ) 
 cibato ( VERB_PAST_PARTICIPLE VERB ) 
 cibava ( VERB ) 
 cibavamo ( VERB ) 
 cibavan ( VERB ) 
 cibavano ( VERB ) 
 cibavate ( VERB ) 
 cibavi ( VERB ) 
 cibavo ( VERB ) 
 cibera' ( VERB ) 
 ciberai ( VERB ) 
 ciberan ( VERB ) 
 ciberanno ( VERB ) 
 ciberebbe ( VERB ) 
 ciberebber ( VERB ) 
 ciberebbero ( VERB ) 
 ciberei ( VERB ) 
 ciberemmo ( VERB ) 
 ciberemo ( VERB ) 
 cibereste ( VERB ) 
 ciberesti ( VERB ) 
 ciberete ( VERB ) 
 cibernetica ( ADJECTIVE ) 
 cibernetiche ( ADJECTIVE ) 
 cibernetici ( ADJECTIVE ) 
 ciberneticissima ( ADJECTIVE ) 
 ciberneticissime ( ADJECTIVE ) 
 ciberneticissimi ( ADJECTIVE ) 
 ciberneticissimo ( ADJECTIVE ) 
 cibernetico ( ADJECTIVE ) 
 cibero' ( VERB ) 
 ciberspazi ( NOUN NOUN_SINGULAR ) 
 ciberspazio ( NOUN NOUN_SINGULAR ) 
 ciberà ( VERB ) 
 ciberò ( VERB ) 
 cibi ( NOUN VERB NOUN_SINGULAR ) 
 cibiamo ( VERB ) 
 cibiate ( VERB ) 
 cibin ( VERB ) 
 cibino ( VERB ) 
 cibo ( NOUN VERB NOUN_SINGULAR ) 
 cibo' ( VERB ) 
 cibò ( VERB ) 
 cicala ( NOUN VERB NOUN_SINGULAR ) 
 cicalai ( VERB ) 
 cicalammo ( VERB ) 
 cicalan ( VERB ) 
 cicalando ( NOUN NOUN_GERUND ) 
 cicalano ( VERB ) 
 cicalante ( VERB_PRESENT_PARTICIPLE VERB ) 
 cicalanti ( VERB_PRESENT_PARTICIPLE VERB ) 
 cicalar ( VERB_INFINITIVE VERB ) 
 cicalare ( VERB_INFINITIVE VERB ) 
 cicalaron ( VERB ) 
 cicalarono ( VERB ) 
 cicalasse ( VERB ) 
 cicalasser ( VERB ) 
 cicalassero ( VERB ) 
 cicalassi ( VERB ) 
 cicalassimo ( VERB ) 
 cicalaste ( VERB ) 
 cicalasti ( VERB ) 
 cicalata ( VERB_PAST_PARTICIPLE VERB ) 
 cicalate ( VERB_PAST_PARTICIPLE VERB ) 
 cicalati ( VERB_PAST_PARTICIPLE VERB ) 
 cicalato ( VERB_PAST_PARTICIPLE VERB ) 
 cicalava ( VERB ) 
 cicalavamo ( VERB ) 
 cicalavan ( VERB ) 
 cicalavano ( VERB ) 
 cicalavate ( VERB ) 
 cicalavi ( VERB ) 
 cicalavo ( VERB ) 
 cicale ( NOUN NOUN_SINGULAR ) 
 cicalecci ( NOUN NOUN_SINGULAR ) 
 cicaleccio ( NOUN NOUN_SINGULAR ) 
 cicalera' ( VERB ) 
 cicalerai ( VERB ) 
 cicaleran ( VERB ) 
 cicaleranno ( VERB ) 
 cicalerebbe ( VERB ) 
 cicalerebber ( VERB ) 
 cicalerebbero ( VERB ) 
 cicalerei ( VERB ) 
 cicaleremmo ( VERB ) 
 cicaleremo ( VERB ) 
 cicalereste ( VERB ) 
 cicaleresti ( VERB ) 
 cicalerete ( VERB ) 
 cicalero' ( VERB ) 
 cicalerà ( VERB ) 
 cicalerò ( VERB ) 
 cicali ( VERB ) 
 cicaliamo ( VERB ) 
 cicaliate ( VERB ) 
 cicalin ( VERB ) 
 cicalino ( VERB ) 
 cicalo ( VERB ) 
 cicalo' ( VERB ) 
 cicalò ( VERB ) 
 cicatrice ( NOUN NOUN_SINGULAR ) 
 cicatrici ( NOUN NOUN_SINGULAR ) 
 cicatrizza ( VERB ) 
 cicatrizzai ( VERB ) 
 cicatrizzammo ( VERB ) 
 cicatrizzan ( VERB ) 
 cicatrizzando ( NOUN NOUN_GERUND ) 
 cicatrizzano ( VERB ) 
 cicatrizzante ( VERB_PRESENT_PARTICIPLE VERB ) 
 cicatrizzanti ( VERB_PRESENT_PARTICIPLE VERB ) 
 cicatrizzar ( VERB_INFINITIVE VERB ) 
 cicatrizzare ( VERB_INFINITIVE VERB ) 
 cicatrizzarmi ( VERB_INFINITIVE VERB ) 
 cicatrizzaron ( VERB ) 
 cicatrizzarono ( VERB ) 
 cicatrizzasse ( VERB ) 
 cicatrizzasser ( VERB ) 
 cicatrizzassero ( VERB ) 
 cicatrizzassi ( VERB ) 
 cicatrizzassimo ( VERB ) 
 cicatrizzaste ( VERB ) 
 cicatrizzasti ( VERB ) 
 cicatrizzata ( VERB_PAST_PARTICIPLE VERB ) 
 cicatrizzate ( VERB_PAST_PARTICIPLE VERB ) 
 cicatrizzati ( VERB_PAST_PARTICIPLE VERB ) 
 cicatrizzato ( VERB_PAST_PARTICIPLE VERB ) 
 cicatrizzava ( VERB ) 
 cicatrizzavamo ( VERB ) 
 cicatrizzavan ( VERB ) 
 cicatrizzavano ( VERB ) 
 cicatrizzavate ( VERB ) 
 cicatrizzavi ( VERB ) 
 cicatrizzavo ( VERB ) 
 cicatrizzazione ( NOUN NOUN_SINGULAR ) 
 cicatrizzazioni ( NOUN NOUN_SINGULAR ) 
 cicatrizzera' ( VERB ) 
 cicatrizzerai ( VERB ) 
 cicatrizzeran ( VERB ) 
 cicatrizzeranno ( VERB ) 
 cicatrizzerebbe ( VERB ) 
 cicatrizzerebber ( VERB ) 
 cicatrizzerebbero ( VERB ) 
 cicatrizzerei ( VERB ) 
 cicatrizzeremmo ( VERB ) 
 cicatrizzeremo ( VERB ) 
 cicatrizzereste ( VERB ) 
 cicatrizzeresti ( VERB ) 
 cicatrizzerete ( VERB ) 
 cicatrizzero' ( VERB ) 
 cicatrizzerà ( VERB ) 
 cicatrizzerò ( VERB ) 
 cicatrizzi ( VERB ) 
 cicatrizziamo ( VERB ) 
 cicatrizziate ( VERB ) 
 cicatrizzin ( VERB ) 
 cicatrizzino ( VERB ) 
 cicatrizzo ( VERB ) 
 cicatrizzo' ( VERB ) 
 cicatrizzò ( VERB ) 
 cicca ( NOUN VERB NOUN_SINGULAR ) 
 ciccai ( VERB ) 
 ciccammo ( VERB ) 
 ciccan ( VERB ) 
 ciccando ( NOUN NOUN_GERUND ) 
 ciccano ( VERB ) 
 ciccante ( VERB_PRESENT_PARTICIPLE VERB ) 
 ciccanti ( VERB_PRESENT_PARTICIPLE VERB ) 
 ciccar ( VERB_INFINITIVE VERB ) 
 ciccare ( VERB_INFINITIVE VERB ) 
 ciccaron ( VERB ) 
 ciccarono ( VERB ) 
 ciccasse ( VERB ) 
 ciccasser ( VERB ) 
 ciccassero ( VERB ) 
 ciccassi ( VERB ) 
 ciccassimo ( VERB ) 
 ciccaste ( VERB ) 
 ciccasti ( VERB ) 
 ciccata ( VERB_PAST_PARTICIPLE VERB ) 
 ciccate ( VERB_PAST_PARTICIPLE VERB ) 
 ciccati ( VERB_PAST_PARTICIPLE VERB ) 
 ciccato ( VERB_PAST_PARTICIPLE VERB ) 
 ciccava ( VERB ) 
 ciccavamo ( VERB ) 
 ciccavan ( VERB ) 
 ciccavano ( VERB ) 
 ciccavate ( VERB ) 
 ciccavi ( VERB ) 
 ciccavo ( VERB ) 
 cicce ( NOUN NOUN_SINGULAR ) 
 cicche ( NOUN NOUN_SINGULAR ) 
 cicchera' ( VERB ) 
 ciccherai ( VERB ) 
 ciccheran ( VERB ) 
 ciccheranno ( VERB ) 
 ciccherebbe ( VERB ) 
 ciccherebber ( VERB ) 
 ciccherebbero ( VERB ) 
 ciccherei ( VERB ) 
 ciccheremmo ( VERB ) 
 ciccheremo ( VERB ) 
 cicchereste ( VERB ) 
 ciccheresti ( VERB ) 
 ciccherete ( VERB ) 
 cicchero' ( VERB ) 
 ciccherà ( VERB ) 
 ciccherò ( VERB ) 
 cicchi ( VERB ) 
 cicchiamo ( VERB ) 
 cicchiate ( VERB ) 
 cicchin ( VERB ) 
 cicchino ( VERB ) 
 ciccia ( NOUN NOUN_SINGULAR ) 
 ciccione ( NOUN NOUN_SINGULAR ) 
 ciccioni ( NOUN NOUN_SINGULAR ) 
 cicco ( VERB ) 
 cicco' ( VERB ) 
 ciccò ( VERB ) 
 cicerone ( NOUN NOUN_SINGULAR ) 
 ciceroni ( NOUN NOUN_SINGULAR ) 
 cicisbei ( NOUN NOUN_SINGULAR ) 
 cicisbeo ( NOUN NOUN_SINGULAR ) 
 ciclabile ( ADJECTIVE ) 
 ciclabili ( ADJECTIVE ) 
 ciclabilissima ( ADJECTIVE ) 
 ciclabilissime ( ADJECTIVE ) 
 ciclabilissimi ( ADJECTIVE ) 
 ciclabilissimo ( ADJECTIVE ) 
 ciclamina ( ADJECTIVE ) 
 ciclamine ( ADJECTIVE ) 
 ciclamini ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 ciclaminissima ( ADJECTIVE ) 
 ciclaminissime ( ADJECTIVE ) 
 ciclaminissimi ( ADJECTIVE ) 
 ciclaminissimo ( ADJECTIVE ) 
 ciclamino ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 cicli ( NOUN NOUN_SINGULAR ) 
 ciclica ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 cicliche ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 ciclici ( ADJECTIVE ) 
 ciclicissima ( ADJECTIVE ) 
 ciclicissime ( ADJECTIVE ) 
 ciclicissimi ( ADJECTIVE ) 
 ciclicissimo ( ADJECTIVE ) 
 ciclicita' ( NOUN NOUN_SINGULAR ) 
 ciclicità ( NOUN NOUN_SINGULAR ) 
 ciclico ( ADJECTIVE ) 
 ciclismi ( NOUN NOUN_SINGULAR ) 
 ciclismo ( NOUN NOUN_SINGULAR ) 
 ciclista ( NOUN NOUN_SINGULAR ) 
 ciclisti ( NOUN NOUN_SINGULAR ) 
 ciclistica ( ADJECTIVE ) 
 ciclistiche ( ADJECTIVE ) 
 ciclistici ( ADJECTIVE ) 
 ciclisticissima ( ADJECTIVE ) 
 ciclisticissime ( ADJECTIVE ) 
 ciclisticissimi ( ADJECTIVE ) 
 ciclisticissimo ( ADJECTIVE ) 
 ciclistico ( ADJECTIVE ) 
 ciclo ( NOUN NOUN_SINGULAR ) 
 cicloamatore ( NOUN NOUN_SINGULAR ) 
 cicloamatori ( NOUN NOUN_SINGULAR ) 
 ciclomotore ( NOUN NOUN_SINGULAR ) 
 ciclomotori ( NOUN NOUN_SINGULAR ) 
 ciclone ( NOUN NOUN_SINGULAR ) 
 cicloni ( NOUN NOUN_SINGULAR ) 
 ciclonica ( ADJECTIVE ) 
 cicloniche ( ADJECTIVE ) 
 ciclonici ( ADJECTIVE ) 
 ciclonicissima ( ADJECTIVE ) 
 ciclonicissime ( ADJECTIVE ) 
 ciclonicissimi ( ADJECTIVE ) 
 ciclonicissimo ( ADJECTIVE ) 
 ciclonico ( ADJECTIVE ) 
 ciclopica ( ADJECTIVE ) 
 ciclopiche ( ADJECTIVE ) 
 ciclopici ( ADJECTIVE ) 
 ciclopicissima ( ADJECTIVE ) 
 ciclopicissime ( ADJECTIVE ) 
 ciclopicissimi ( ADJECTIVE ) 
 ciclopicissimo ( ADJECTIVE ) 
 ciclopico ( ADJECTIVE ) 
 ciclostila ( VERB ) 
 ciclostilai ( VERB ) 
 ciclostilammo ( VERB ) 
 ciclostilan ( VERB ) 
 ciclostilando ( NOUN NOUN_GERUND ) 
 ciclostilano ( VERB ) 
 ciclostilante ( VERB_PRESENT_PARTICIPLE VERB ) 
 ciclostilanti ( VERB_PRESENT_PARTICIPLE VERB ) 
 ciclostilar ( VERB_INFINITIVE VERB ) 
 ciclostilare ( VERB_INFINITIVE VERB ) 
 ciclostilaron ( VERB ) 
 ciclostilarono ( VERB ) 
 ciclostilasse ( VERB ) 
 ciclostilasser ( VERB ) 
 ciclostilassero ( VERB ) 
 ciclostilassi ( VERB ) 
 ciclostilassimo ( VERB ) 
 ciclostilaste ( VERB ) 
 ciclostilasti ( VERB ) 
 ciclostilata ( VERB_PAST_PARTICIPLE VERB ) 
 ciclostilate ( VERB_PAST_PARTICIPLE VERB ) 
 ciclostilati ( VERB_PAST_PARTICIPLE NOUN VERB NOUN_SINGULAR ) 
 ciclostilato ( VERB_PAST_PARTICIPLE NOUN VERB NOUN_SINGULAR ) 
 ciclostilava ( VERB ) 
 ciclostilavamo ( VERB ) 
 ciclostilavan ( VERB ) 
 ciclostilavano ( VERB ) 
 ciclostilavate ( VERB ) 
 ciclostilavi ( VERB ) 
 ciclostilavo ( VERB ) 
 ciclostilera' ( VERB ) 
 ciclostilerai ( VERB ) 
 ciclostileran ( VERB ) 
 ciclostileranno ( VERB ) 
 ciclostilerebbe ( VERB ) 
 ciclostilerebber ( VERB ) 
 ciclostilerebbero ( VERB ) 
 ciclostilerei ( VERB ) 
 ciclostileremmo ( VERB ) 
 ciclostileremo ( VERB ) 
 ciclostilereste ( VERB ) 
 ciclostileresti ( VERB ) 
 ciclostilerete ( VERB ) 
 ciclostilero' ( VERB ) 
 ciclostilerà ( VERB ) 
 ciclostilerò ( VERB ) 
 ciclostili ( VERB ) 
 ciclostiliamo ( VERB ) 
 ciclostiliate ( VERB ) 
 ciclostilin ( VERB ) 
 ciclostilino ( VERB ) 
 ciclostilo ( VERB ) 
 ciclostilo' ( VERB ) 
 ciclostilò ( VERB ) 
 cicloturista ( NOUN NOUN_SINGULAR ) 
 cicloturisti ( NOUN NOUN_SINGULAR ) 
 cicogna ( NOUN NOUN_SINGULAR ) 
 cicogne ( NOUN NOUN_SINGULAR ) 
 cieca ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 cieche ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 ciechi ( NOUN NOUN_SINGULAR ) 
 cieci ( ADJECTIVE ) 
 ciecissima ( ADJECTIVE ) 
 ciecissime ( ADJECTIVE ) 
 ciecissimi ( ADJECTIVE ) 
 ciecissimo ( ADJECTIVE ) 
 cieco ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 ciel ( NOUN NOUN_SINGULAR ) 
 cieli ( NOUN NOUN_SINGULAR ) 
 ciellina ( ADJECTIVE ) 
 cielline ( ADJECTIVE ) 
 ciellini ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 ciellinissima ( ADJECTIVE ) 
 ciellinissime ( ADJECTIVE ) 
 ciellinissimi ( ADJECTIVE ) 
 ciellinissimo ( ADJECTIVE ) 
 ciellino ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 cielo ( NOUN NOUN_SINGULAR ) 
 cifra ( NOUN VERB NOUN_SINGULAR ) 
 cifrai ( VERB ) 
 ciframmo ( VERB ) 
 cifran ( VERB ) 
